挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
2021-07-14,商品房,2018-05-26,普通住宅,暂无数据,非共有,"
                                有抵押 100万元
                              ",已上传房本照片
2023-04-07,商品房,2019-05-10,普通住宅,暂无数据,非共有,"
                                有抵押 230万元 中信银行 金融公司垫资
                              ",已上传房本照片
2023-05-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-05-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 220万元 中国工商银行股份有限公司深圳宝安支行 客户偿还
                              ",未上传房本照片
2022-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2022-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 265万元 建行
                              ",未上传房本照片
2022-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 700万元
                              ",未上传房本照片
2022-09-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元
                              ",未上传房本照片
2023-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 700万元 客户偿还
                              ",未上传房本照片
2023-03-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 900万元 工商银行 客户偿还
                              ",未上传房本照片
2022-12-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1000万元
                              ",未上传房本照片
2022-11-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 600万元 建行
                              ",未上传房本照片
2022-08-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1039.8136万元
                              ",未上传房本照片
2023-01-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2021-11-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 290万元 工商银行 客户偿还
                              ",未上传房本照片
2022-07-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1800万元
                              ",未上传房本照片
2022-03-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 180万元 招商银行
                              ",未上传房本照片
2022-10-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 招行
                              ",未上传房本照片
2022-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2022-06-09,商品房,暂无数据,别墅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2022-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-10-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 570万元 建设银行 客户偿还
                              ",未上传房本照片
2022-11-11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-02-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 700万元 民生银行
                              ",未上传房本照片
2023-02-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1400万元 客户偿还
                              ",未上传房本照片
2023-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-05-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 210万元 中信银行 业主自还
                              ",未上传房本照片
2022-03-20,商品房,2015-07-21,公寓,满五年,非共有,"
                                有抵押 60万元 兴业银行
                              ",已上传房本照片
2018-09-20,商品房,2013-12-25,商务公寓,满五年,共有,"
                                有抵押 200万元 建设银行 客户偿还
                              ",已上传房本照片
2022-01-23,商品房,2015-04-07,商务公寓,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2021-09-01,商品房,2015-07-02,普通住宅,满五年,非共有,"
                                有抵押 76万元 招商银行
                              ",已上传房本照片
2022-10-30,商品房,2007-07-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2022-08-22,商品房,2010-05-12,普通住宅,满五年,非共有,"
                                有抵押 200万元
                              ",已上传房本照片
2022-05-26,商品房,2019-12-01,商业办公类,暂无数据,非共有,"
                                有抵押 40万元 交通银行 客户偿还
                              ",已上传房本照片
2023-01-30,商品房,2017-12-12,商务公寓,满五年,非共有,"
                                有抵押 75万元 建设银行 客户偿还
                              ",已上传房本照片
2022-10-07,商品房,2019-12-25,普通住宅,暂无数据,非共有,"
                                有抵押 90万元 工商
                              ",已上传房本照片
2022-04-16,商品房,2016-02-03,普通住宅,满五年,非共有,"
                                有抵押 110万元 客户偿还
                              ",已上传房本照片
2022-07-07,商品房,2019-06-03,商务公寓,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-16,商品房,2013-07-02,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
2022-08-17,商品房,2016-10-10,商业办公类,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2022-03-25,商品房,2009-11-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2020-11-12,商品房,2020-03-24,商业办公类,暂无数据,非共有,"
                                有抵押 30万元 中信银行 金融公司垫资
                              ",已上传房本照片
2020-09-27,商品房,2018-03-08,商业办公类,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-01-10,商品房,2017-10-31,商务公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-02-23,商品房,2018-09-07,商务公寓,暂无数据,非共有,"
                                有抵押 100万元 招商 客户偿还
                              ",已上传房本照片
2018-12-24,商品房,2016-07-27,商业办公类,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2023-01-29,商品房,2020-09-27,商业办公类,暂无数据,非共有,"
                                有抵押 50万元 金融公司垫资
                              ",已上传房本照片
2022-12-13,商品房,2017-10-11,商务公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-03-08,商品房,2016-10-17,公寓,满五年,非共有,"
                                有抵押 120万元
                              ",已上传房本照片
2023-03-06,商品房,2015-05-04,普通住宅,满五年,共有,"
                                有抵押 320万元 金融公司垫资
                              ",已上传房本照片
2023-03-27,商品房,2018-01-12,普通住宅,满五年,共有,"
                                有抵押 120万元 建设 客户偿还
                              ",已上传房本照片
2022-08-09,商品房,2017-10-12,商务公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-11,商品房,2001-03-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-21,商品房,2017-08-29,商业办公类,满五年,非共有,"
                                有抵押 18万元
                              ",已上传房本照片
2021-02-02,商品房,2018-05-16,商业办公类,满五年,非共有,"
                                有抵押 48万元 交通银行 客户偿还
                              ",已上传房本照片
2023-04-11,商品房,2015-11-06,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2023-02-19,商品房,2018-01-23,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
2023-04-10,商品房,2012-07-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-10-05,商品房,2018-01-02,商务公寓,满五年,非共有,"
                                有抵押 105万元
                              ",已上传房本照片
2022-03-04,商品房,2016-03-07,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
2023-03-05,商品房,2012-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-16,商品房,2014-07-10,商业办公类,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2020-12-20,商品房,2016-06-07,公寓,满五年,共有,"
                                有抵押 40万元 建设银行 客户偿还
                              ",已上传房本照片
2021-08-02,商品房,2020-05-08,商业办公类,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2021-06-05,商品房,2005-01-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-12-02,商品房,2017-11-26,商业办公类,满五年,非共有,"
                                有抵押 10万元 农业银行 客户偿还
                              ",已上传房本照片
2022-11-25,商品房,2017-04-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-03,商品房,2020-06-04,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2022-11-30,商品房,2019-05-01,普通住宅,暂无数据,非共有,"
                                有抵押 270万元 工商 客户偿还
                              ",已上传房本照片
2023-03-19,商品房,2018-01-27,普通住宅,满五年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2022-01-01,商品房,2018-08-16,商业办公类,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
2023-03-05,商品房,2013-08-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-02-04,商品房,2018-07-12,商业办公类,暂无数据,非共有,"
                                有抵押 30万元 农业银行 客户偿还
                              ",已上传房本照片
2022-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 230万元 客户偿还
                              ",未上传房本照片
2022-09-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 199万元 建行 客户偿还
                              ",未上传房本照片
2023-03-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-04,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-02-13,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押 150万元 工商 金融公司垫资
                              ",未上传房本照片
2022-09-02,商品房,2022-07-20,商业办公类,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
2023-04-11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-03-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 240万元 中信银行 业主自还
                              ",未上传房本照片
2022-07-07,商品房,暂无数据,商务公寓,暂无数据,共有,"
                                有抵押 600万元
                              ",未上传房本照片
2023-03-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-02-06,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2022-10-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-03-08,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押 农商
                              ",未上传房本照片
2023-03-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元
                              ",未上传房本照片
2023-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-04-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 10万元 工商银行 客户偿还
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 客户偿还
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 220万元
                              ",未上传房本照片
2023-05-19,商品房,2009-06-19,普通住宅,满五年,非共有,"
                                有抵押 529万元 中信银行 金融公司垫资
                              ",已上传房本照片
2023-05-20,商品房,2017-04-28,普通住宅,满五年,非共有,"
                                有抵押 120万元 中国农业银行 金融公司垫资
                              ",已上传房本照片
2021-08-16,商品房,2021-09-02,商业办公类,未满两年,共有,"
                                无抵押
                              ",已上传房本照片
2022-02-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 400万元
                              ",未上传房本照片
2023-02-20,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押 154万元 客户偿还
                              ",未上传房本照片
2023-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 435万元 工商银行 金融公司垫资
                              ",未上传房本照片
2022-07-18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-03-26,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-05-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 600万元 建设银行 客户偿还
                              ",未上传房本照片
2023-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1200万元 金融公司垫资
                              ",未上传房本照片
2023-01-29,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押 200万元 邮政银行 业主自还
                              ",未上传房本照片
2023-03-29,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-02-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 中国建行银行
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-16,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 160万元
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 328万元 农业银行 客户偿还
                              ",未上传房本照片
2023-04-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 业主自还
                              ",未上传房本照片
2023-04-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 业主自还
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 560万元
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元 建设银行
                              ",未上传房本照片
2023-05-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 金融公司垫资
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 1000万元 微商银行
                              ",未上传房本照片
2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元 客户偿还
                              ",未上传房本照片
2023-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 银行 金融公司垫资
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 310万元 农商行 客户偿还
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 470万元 民生 金融公司垫资
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 160万元 农业银行 客户偿还
                              ",未上传房本照片
2023-04-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 140万元 中国银行 客户偿还
                              ",未上传房本照片
2023-05-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 410万元
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 340万元
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 76万元 公积金
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 700万元 客户偿还
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 中国银行
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元 工行 客户偿还
                              ",未上传房本照片
2023-04-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 中国建设银行
                              ",未上传房本照片
2023-05-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 261万元 招商银行 金融公司垫资
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 500万元 建设银行
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 650万元 厦门国际 客户偿还
                              ",未上传房本照片
2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 80万元 客户偿还
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 工商银行
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 500万元
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 900万元 中国农业银行 金融公司垫资
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 130万元 客户偿还
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 340万元 客户偿还
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 470 客户偿还
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 600万元 经营贷 客户偿还
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 中国工商银行 金融公司垫资
                              ",未上传房本照片
2023-04-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 中国银行 金融公司垫资
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 85万元
                              ",未上传房本照片
2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 550万元
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元
                              ",未上传房本照片
2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 110万元 农业银行 客户偿还
                              ",未上传房本照片
2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片
2023-04-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 320万元 中国银行 客户偿还
                              ",未上传房本照片
2023-04-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 500万元 银行 金融公司垫资
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
2023-05-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 200万元
                              ",未上传房本照片
2023-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 70万元 农业银行
                              ",未上传房本照片
2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-25,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 客户偿还
                              ",未上传房本照片
2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 300万元 业主自还
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元
                              ",未上传房本照片
2023-04-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2023-04-26,商品房,暂无数据,商业办公类,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
2022-09-02,商品房,2011-07-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-10-19,商品房,2018-06-20,普通住宅,暂无数据,非共有,"
                                有抵押 167万元 中行 客户偿还
                              ",已上传房本照片
2022-05-24,商品房,2016-05-06,普通住宅,满五年,非共有,"
                                有抵押 200万元 金融公司垫资
                              ",已上传房本照片
2022-04-10,商品房,2010-04-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2020-05-21,商品房,2016-05-23,普通住宅,满五年,非共有,"
                                有抵押 250万元 客户偿还
                              ",已上传房本照片
2022-07-15,商品房,2015-08-20,普通住宅,满五年,非共有,"
                                有抵押 113万元 工商银行 金融公司垫资
                              ",已上传房本照片
2023-04-04,商品房,2017-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-22,商品房,2019-07-17,普通住宅,暂无数据,非共有,"
                                有抵押 400万元 中国建设银行股份有限公司深圳市分行 业主自还
                              ",已上传房本照片
2020-07-09,商品房,2018-11-08,普通住宅,暂无数据,非共有,"
                                有抵押 90万元 中国银行 客户偿还
                              ",已上传房本照片
2022-05-18,商品房,2019-05-22,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
2022-12-14,商品房,2019-03-18,普通住宅,暂无数据,非共有,"
                                有抵押 147万元
                              ",已上传房本照片
2023-03-06,商品房,2018-02-22,普通住宅,满五年,非共有,"
                                有抵押 200万元 交通银行 金融公司垫资
                              ",已上传房本照片
2023-03-28,商品房,2003-05-21,普通住宅,满五年,非共有,"
                                有抵押 152万元 中国平安银行 客户偿还
                              ",已上传房本照片
2020-05-27,商品房,2005-04-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-02-26,商品房,2015-06-26,普通住宅,满五年,非共有,"
                                有抵押 140万元 建设银行 金融公司垫资
                              ",已上传房本照片
2023-02-16,商品房,2017-05-05,普通住宅,满五年,非共有,"
                                有抵押 571万元 建行 客户偿还
                              ",已上传房本照片
2022-11-24,商品房,2015-12-16,普通住宅,满五年,非共有,"
                                有抵押 300万元 客户偿还
                              ",已上传房本照片
2022-05-11,商品房,2019-10-24,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2021-04-18,商品房,2016-02-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2023-01-30,商品房,2018-10-26,普通住宅,暂无数据,非共有,"
                                有抵押 175万元
                              ",已上传房本照片
2021-04-18,商品房,2016-02-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
2021-07-28,商品房,2006-04-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-08-26,商品房,2003-09-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2022-07-14,商品房,2016-03-11,普通住宅,满五年,非共有,"
                                有抵押 170万元 建设银行 客户偿还
                              ",已上传房本照片
2021-03-19,商品房,2014-12-15,普通住宅,满五年,共有,"
                                有抵押 100万元
                              ",已上传房本照片
2022-06-08,商品房,2015-09-17,普通住宅,满五年,非共有,"
                                有抵押 80万元 客户偿还
                              ",已上传房本照片
2021-07-20,商品房,2017-04-18,普通住宅,满五年,非共有,"
                                有抵押 120万元 中国农业银行宝安支行 金融公司垫资
                              ",已上传房本照片
2022-10-01,商品房,2016-05-05,普通住宅,满五年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片
2022-12-13,商品房,2020-01-15,普通住宅,暂无数据,非共有,"
                                有抵押 150万元 金融公司垫资
                              ",已上传房本照片
2022-09-15,商品房,2019-08-15,普通住宅,暂无数据,非共有,"
                                有抵押 135万元 交通银行 客户偿还
                              ",已上传房本照片
2022-08-01,商品房,2015-11-23,普通住宅,满五年,非共有,"
                                有抵押 76万元 工商银行
                              ",已上传房本照片
2022-01-10,商品房,2017-10-05,普通住宅,满五年,非共有,"
                                有抵押 150万元 建设银行 金融公司垫资
                              ",已上传房本照片
2022-05-31,商品房,2002-02-25,普通住宅,满五年,非共有,"
                                有抵押 300万元 业主自还
                              ",已上传房本照片
2021-07-09,商品房,2016-08-10,普通住宅,满五年,非共有,"
                                有抵押 140万元
                              ",已上传房本照片
2023-02-02,商品房,2020-01-16,普通住宅,暂无数据,非共有,"
                                有抵押 160万元 中国银行
                              ",已上传房本照片
2023-04-05,商品房,2015-06-25,商务公寓,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2021-10-29,商品房,2016-04-28,普通住宅,满五年,非共有,"
                                有抵押 130万元 建设银行 金融公司垫资
                              ",已上传房本照片
2023-02-26,商品房,2019-12-21,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
2021-02-07,商品房,2018-01-26,普通住宅,满五年,非共有,"
                                有抵押 200万元 农业银行宝安支行 金融公司垫资
                              ",已上传房本照片
2020-10-13,商品房,2009-12-01,普通住宅,满五年,非共有,"
                                有抵押 17万元
                              ",已上传房本照片
